Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Madhya Pradesh, 30-06-2021, M, 2.34, 22680487.00, 36.75
Madhya Pradesh, 31-07-2021, M, 2.30, 24438028.00, 39.49
Madhya Pradesh, 31-08-2021, M, 3.49, 23825304.00, 38.89
Maharashtra, 31-01-2021, M, 3.79, 42638718.00, 42.68
Maharashtra, 28-02-2021, M, 3.75, 43096660.00, 43.04
Maharashtra, 31-03-2021, M, 3.55, 44407556.00, 44.16
Maharashtra, 30-04-2021, M, 5.47, 40125662.00, 40.64
Maharashtra, 31-05-2021, M, 5.75, 40887966.00, 41.45
Maharashtra, 30-06-2021, M, 4.29, 42688095.00, 42.53
Maharashtra, 31-07-2021, M, 4.28, 44095200.00, 43.84
Maharashtra, 31-08-2021, M, 4.36, 44637546.00, 44.32
Meghalaya, 31-01-2021, M, 3.28, 1412004.00, 61.23
Meghalaya, 28-02-2021, M, 3.83, 1326534.00, 57.72
Meghalaya, 31-03-2021, M, 1.31, 1516752.00, 64.15
Meghalaya, 30-04-2021, M, 1.44, 1385061.00, 58.52
Meghalaya, 31-05-2021, M, 6.49, 1293466.00, 57.46
Meghalaya, 30-06-2021, M, 2.84, 1472538.00, 62.80
Meghalaya, 31-07-2021, M, 0.39, 1598729.00, 66.34
Meghalaya, 31-08-2021, M, 0.58, 1444334.00, 59.90
Odisha, 31-01-2021, M, 2.97, 13790183.00, 39.24
Odisha, 28-02-2021, M, 2.46, 14077007.00, 39.79
Odisha, 31-03-2021, M, 1.56, 14055367.00, 39.29
Odisha, 30-04-2021, M, 1.88, 14869145.00, 41.64
Odisha, 31-05-2021, M, 7.02, 12976729.00, 38.29
Odisha, 30-06-2021, M, 3.65, 13467650.00, 38.28
Odisha, 31-07-2021, M, 1.08, 14895116.00, 41.17
Odisha, 31-08-2021, M, 2.17, 14349717.00, 40.04
Puducherry, 31-01-2021, M, 7.56, 420079.00, 35.87
Puducherry, 28-02-2021, M, 5.76, 420318.00, 35.13
Puducherry, 31-03-2021, M, 1.44, 418321.00, 33.34
Puducherry, 30-04-2021, M, 2.72, 424356.00, 34.19
Puducherry, 31-05-2021, M, 23.97, 348683.00, 35.85
Puducherry, 30-06-2021, M, 47.12, 222864.00, 32.86
Puducherry, 31-07-2021, M, 9.58, 408760.00, 35.16
Puducherry, 31-08-2021, M, 8.57, 462760.00, 39.27
Punjab, 31-01-2021, M, 8.09, 9097268.00, 39.07
Punjab, 28-02-2021, M, 7.21, 9037550.00, 38.39
Punjab, 31-03-2021, M, 7.35, 9590215.00, 40.73
Punjab, 30-04-2021, M, 5.33, 9367881.00, 38.87
Punjab, 31-05-2021, M, 8.84, 8900420.00, 38.28
